Time,FilamentPos,MotorPos,FocalTesionPos,MotorConnections,ContractileForce,Other
213,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
214,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
215,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
216,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
217,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
218,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
219,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
220,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
221,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
222,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
223,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
224,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
225,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
226,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
227,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
228,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
229,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
230,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
231,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
232,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
233,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
234,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
235,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
236,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
237,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
238,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
239,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
240,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
241,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
242,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
243,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
244,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
245,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
246,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
247,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
248,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
249,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
